DRG,ID,Name,Street,City,State,Zip,Region,TotalDischarges,AveragedCoveredCharges,AverageTotalPayments,type,lat,lon
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,38,20312.78947,4894.763158,Inpatient,31.215235,-85.361458
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,84,38820.39286,10260.21429,Inpatient,31.215235,-85.361458
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,169,27345.10059,6542.088757,Inpatient,31.215235,-85.361458
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,33,17605.51515,4596.393939,Inpatient,31.215235,-85.361458
069 - TRANSIENT ISCHEMIA,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,37,20688.83784,4134.108108,Inpatient,31.215235,-85.361458
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,13,18489.15385,4876.0,Inpatient,31.215235,-85.361458
101 - SEIZURES W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,27,19619.7037,4667.222222,Inpatient,31.215235,-85.361458
176 - PULMONARY EMBOLISM W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,33,23680.30303,6020.272727,Inpatient,31.215235,-85.361458
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,21,48240.09524,11634.52381,Inpatient,31.215235,-85.361458
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,22,31341.59091,7873.545455,Inpatient,31.215235,-85.361458
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,112,28807.61607,7254.196429,Inpatient,31.215235,-85.361458
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,73,26582.76712,6738.575342,Inpatient,31.215235,-85.361458
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,164,23894.34756,5464.658537,Inpatient,31.215235,-85.361458
